2024-01-01,489,10,417.96
2024-01-01,921,5,257.49
2024-01-01,952,2,337.65
2024-01-02,48,7,481.3
2024-01-02,256,2,286.24
2024-01-02,428,5,146.25
2024-01-02,972,9,193.93
2024-01-03,561,5,347.83
2024-01-03,875,7,249.5
2024-01-03,915,9,269.55
2024-01-04,322,7,67.46
2024-01-04,349,1,393.71
2024-01-04,995,4,417.56
2024-01-05,294,10,282.35
2024-01-06,470,10,192.29
2024-01-06,915,3,426.92
2024-01-06,963,3,173.39
2024-01-07,515,4,243.44
2024-01-08,263,5,481.59
2024-01-08,431,2,10.35
2024-01-08,482,5,338.0
2024-01-08,884,3,348.1
2024-01-09,142,8,171.93
2024-01-09,323,6,88.97
2024-01-09,517,7,188.27
2024-01-09,563,8,439.66
2024-01-10,223,7,303.2
2024-01-10,412,6,18.17
2024-01-10,710,9,62.94
2024-01-11,84,5,456.23
2024-01-11,120,3,365.15
2024-01-11,940,10,34.03
2024-01-11,961,2,110.12
2024-01-12,92,5,134.93
2024-01-12,488,2,433.33
2024-01-12,786,3,145.47
2024-01-13,264,1,62.13
2024-01-14,33,1,317.55
2024-01-14,693,5,299.49
2024-01-14,954,9,82.29
2024-01-14,970,5,378.54
2024-01-16,17,8,205.34
2024-01-16,412,1,458.21
2024-01-16,475,7,433.98
2024-01-16,564,1,127.41
2024-01-16,885,5,35.26
2024-01-17,518,10,173.08
2024-01-18,861,3,445.89
2024-01-19,90,5,253.02
2024-01-19,331,4,127.77
2024-01-19,655,6,207.42
2024-01-19,766,3,480.02
2024-01-20,216,6,348.65
2024-01-20,479,6,471.71
2024-01-20,808,5,445.21
2024-01-20,836,4,286.93
2024-01-20,944,5,16.89
2024-01-21,4,2,441.62
2024-01-21,552,8,337.69
2024-01-21,995,8,201.72
2024-01-22,116,10,139.57
2024-01-22,228,3,237.57
2024-01-22,487,10,437.09
2024-01-22,665,2,479.28
2024-01-23,248,4,339.39
2024-01-23,376,7,309.31
2024-01-23,556,6,285.04
2024-01-23,674,5,302.56
2024-01-23,731,5,494.17
2024-01-24,481,4,157.32
2024-01-24,564,7,473.12
2024-01-24,627,4,143.92
2024-01-24,945,4,348.18
2024-01-25,224,5,273.38
2024-01-25,240,9,78.27
2024-01-25,267,7,295.55
2024-01-25,373,2,322.11
2024-01-25,592,3,126.67
2024-01-25,616,3,110.63
2024-01-25,779,1,310.19
2024-01-25,794,1,17.95
2024-01-25,995,4,382.46
2024-01-26,358,9,55.26
2024-01-26,635,6,238.27
2024-01-26,662,8,234.7
2024-01-26,841,10,148.41
2024-01-27,180,7,27.01
2024-01-27,181,9,34.1
2024-01-27,681,1,461.42
2024-01-28,331,8,334.93
2024-01-28,639,9,205.39
2024-01-28,699,1,144.29
2024-01-28,963,6,420.28
2024-01-28,982,8,42.16
2024-01-28,999,6,157.49
2024-01-29,78,7,35.7
2024-01-29,121,5,179.76
2024-01-29,504,10,328.12
2024-01-29,828,9,53.47
2024-01-30,5,10,368.38
2024-01-30,278,8,461.97
2024-01-30,309,8,388.99
2024-01-30,332,6,375.35
2024-01-31,425,4,226.48
2024-02-01,606,7,409.41
2024-02-01,921,5,179.5
2024-02-02,422,5,15.02
2024-02-02,473,9,88.91
2024-02-02,764,9,251.35
2024-02-03,38,8,105.42
2024-02-03,376,6,63.9
2024-02-03,483,5,321.75
2024-02-03,623,9,441.67
2024-02-03,941,8,455.57
2024-02-04,373,1,217.05
2024-02-04,748,5,127.57
2024-02-04,993,2,231.48
2024-02-05,156,7,277.58
2024-02-05,177,6,401.29
2024-02-05,601,4,309.01
2024-02-05,612,10,435.75
